-0.00091 -0.10330 -0.13664 -0.15715 -0.18118 -0.21432 -0.26012 -0.32272 -0.40797 -0.52388 -0.67849 -0.86727 -1.04342 -1.11195 -1.02352 -0.86794 -0.76471 -0.69731 -0.56419 -0.32099 0.02604 0.47932 0.97397 1.33641 1.45760 1.37880 1.19735 0.99697 0.82381 0.68225 0.53482 0.31343
-0.00064 -0.07204 -0.09529 -0.10978 -0.12693 -0.15070 -0.18364 -0.22872 -0.28989 -0.37165 -0.47578 -0.59102 -0.68116 -0.70206 -0.65257 -0.58328 -0.53966 -0.51659 -0.46150 -0.32257 -0.08376 0.25414 0.64256 0.94589 1.06371 1.01649 0.87971 0.72495 0.59456 0.49064 0.38042 0.21654
-0.00033 -0.03699 -0.04893 -0.05643 -0.06536 -0.07777 -0.09498 -0.11852 -0.15031 -0.19230 -0.24449 -0.29996 -0.34035 -0.34534 -0.31656 -0.28358 -0.27306 -0.27579 -0.25717 -0.19354 -0.07549 0.10360 0.31797 0.49215 0.56582 0.54243 0.46444 0.37725 0.30769 0.25494 0.19710 0.10997
0.00000 0.00004 0.00005 0.00004 0.00003 0.00002 0.00001 0.00001 -0.00000 -0.00001 -0.00001 -0.00002 -0.00003 -0.00003 -0.00004 -0.00004 -0.00004 -0.00004 -0.00003 -0.00003 -0.00003 -0.00002 -0.00001 0.00000 0.00002 0.00003 0.00003 0.00003 0.00003 0.00002 0.00001 -0.00000
0.00033 0.03707 0.04902 0.05651 0.06542 0.07782 0.09501 0.11854 0.15031 0.19228 0.24446 0.29992 0.34030 0.34528 0.31648 0.28350 0.27298 0.27571 0.25710 0.19348 0.07543 -0.10364 -0.31799 -0.49215 -0.56579 -0.54238 -0.46438 -0.37718 -0.30763 -0.25489 -0.19708 -0.10996
0.00064 0.07212 0.09538 0.10985 0.12699 0.15074 0.18367 0.22874 0.28988 0.37163 0.47575 0.59099 0.68112 0.70201 0.65251 0.58320 0.53958 0.51651 0.46143 0.32250 0.08370 -0.25419 -0.64258 -0.94588 -1.06368 -1.01644 -0.87966 -0.72489 -0.59449 -0.49058 -0.38038 -0.21653
0.00091 0.10338 0.13672 0.15722 0.18124 0.21436 0.26014 0.32273 0.40796 0.52386 0.67846 0.86722 1.04338 1.11192 1.02348 0.86788 0.76463 0.69722 0.56411 0.32091 -0.02610 -0.47935 -0.97397 -1.33640 -1.45757 -1.37876 -1.19730 -0.99690 -0.82374 -0.68218 -0.53476 -0.31341
0.00113 0.12932 0.17104 0.19625 0.22534 0.26514 0.31978 0.39394 0.49431 0.63066 0.81592 1.05896 1.33500 1.54075 1.53110 1.28371 0.95737 0.69528 0.46585 0.16347 -0.25707 -0.77389 -1.28527 -1.62761 -1.71510 -1.59769 -1.38207 -1.15712 -0.96586 -0.80950 -0.64648 -0.39201
0.00129 0.14883 0.19687 0.22527 0.25738 0.30083 0.35984 0.43887 0.54404 0.68398 0.87034 1.11453 1.41018 1.69084 1.81031 1.64937 1.25691 0.79323 0.35347 -0.07987 -0.55117 -1.05123 -1.49244 -1.75501 -1.78799 -1.64442 -1.42219 -1.20113 -1.01791 -0.86893 -0.70981 -0.44555
0.00138 0.16126 0.21334 0.24336 0.27648 0.32066 0.37981 0.45764 0.55875 0.68910 0.85582 1.06516 1.31374 1.56503 1.72171 1.66029 1.34392 0.86065 0.32614 -0.19934 -0.69745 -1.14373 -1.48498 -1.65992 -1.65454 -1.52161 -1.33650 -1.15440 -1.00068 -0.87248 -0.72891 -0.47204
0.00141 0.16638 0.22016 0.25034 0.28270 0.32515 0.38106 0.45311 0.54417 0.65737 0.79539 0.95871 1.14094 1.31847 1.43564 1.40944 1.18434 0.78589 0.29683 -0.20383 -0.66185 -1.03709 -1.29535 -1.41449 -1.40522 -1.31126 -1.18176 -1.05113 -0.93590 -0.83430 -0.71155 -0.47310
0.00137 0.16439 0.21761 0.24666 0.27688 0.31577 0.36611 0.42955 0.50746 0.60071 0.70894 0.82903 0.95248 1.06123 1.12247 1.08970 0.92384 0.62587 0.24221 -0.16355 -0.53508 -0.83204 -1.03186 -1.12990 -1.14093 -1.09258 -1.01347 -0.92606 -0.84386 -0.76692 -0.66574 -0.45213
0.00128 0.15576 0.20633 0.23324 0.26034 0.29453 0.33797 0.39151 0.45540 0.52908 0.61051 0.69515 0.77451 0.83455 0.85470 0.80981 0.67907 0.46086 0.18007 -0.12174 -0.40234 -0.63029 -0.78963 -0.87849 -0.90631 -0.88950 -0.84602 -0.79132 -0.73575 -0.67990 -0.59889 -0.41346
0.00114 0.14117 0.18727 0.21128 0.23470 0.26361 0.29965 0.34311 0.39356 0.44969 0.50886 0.56645 0.61518 0.64467 0.64180 0.59277 0.48771 0.32709 0.12553 -0.09171 -0.29708 -0.46882 -0.59496 -0.67297 -0.70775 -0.70897 -0.68807 -0.65569 -0.61963 -0.58042 -0.51724 -0.36138
0.00097 0.12145 0.16154 0.18217 0.20164 0.22512 0.25383 0.28771 0.32604 0.36726 0.40879 0.44660 0.47500 0.48670 0.47342 0.42754 0.34464 0.22648 0.08244 -0.07206 -0.21979 -0.34638 -0.44308 -0.50710 -0.54070 -0.54960 -0.54117 -0.52276 -0.50008 -0.47341 -0.42565 -0.29973
0.00076 0.09745 0.13040 0.14737 0.16286 0.18101 0.20273 0.22786 0.25560 0.28453 0.31244 0.33615 0.35153 0.35366 0.33745 0.29874 0.23572 0.15037 0.04897 -0.05886 -0.16238 -0.25229 -0.32249 -0.37064 -0.39778 -0.40741 -0.40439 -0.39379 -0.37972 -0.36224 -0.32788 -0.23183
0.00054 0.07032 0.09535 0.10849 0.12002 0.13302 0.14820 0.16542 0.18402 0.20288 0.22033 0.23411 0.24140 0.23910 0.22418 0.19447 0.14940 0.09070 0.02257 -0.04896 -0.11725 -0.17646 -0.22269 -0.25436 -0.27214 -0.27836 -0.27629 -0.26942 -0.26061 -0.24988 -0.22741 -0.16086
0.00032 0.04212 0.05871 0.06766 0.07511 0.08307 0.09211 0.10217 0.11283 0.12335 0.13269 0.13943 0.14191 0.13836 0.12718 0.10737 0.07892 0.04314 0.00269 -0.03887 -0.07772 -0.11057 -0.13533 -0.15131 -0.15917 -0.16054 -0.15754 -0.15240 -0.14696 -0.14135 -0.12950 -0.09135
0.00012 0.01738 0.02491 0.02895 0.03207 0.03519 0.03862 0.04238 0.04629 0.05003 0.05315 0.05506 0.05505 0.05243 0.04661 0.03730 0.02468 0.00948 -0.00704 -0.02329 -0.03770 -0.04901 -0.05660 -0.06045 -0.06113 -0.05954 -0.05671 -0.05360 -0.05106 -0.04932 -0.04602 -0.03258
